0.49546745,0.        
0.17712589,1.2885445 
0.        ,0.        
0.13779333,0.        
0.        ,0.        
0.6463575 ,0.        
1.0266021 ,2.1391087 
0.        ,0.13151711
0.        ,0.94924957
0.29865864,0.        
1.3089732 ,0.        
0.44194144,0.        
0.        ,0.5923025 
0.        ,1.0766407 
1.3169637 ,0.        
0.        ,0.        
0.        ,0.00988876
0.        ,1.4862492 
0.        ,0.8417945 
0.28017154,0.52936363
1.402769  ,0.        
0.        ,0.        
0.        ,0.        
0.        ,1.2956305 
0.49210283,1.0381057 
0.        ,0.01341365
1.1638196 ,1.9271848 
0.5188706 ,0.18198298
0.        ,0.44579384
0.        ,0.        
0.        ,0.        
0.        ,0.22086725
1.930959  ,0.77459884
0.        ,0.        
0.        ,1.4355096 
0.07618301,0.        
0.        ,0.        
1.3945754 ,3.1700683 
0.        ,0.        
0.97472876,0.        
0.        ,0.        
0.        ,1.3719217 
0.9746927 ,0.24984992
2.2111373 ,1.0859945 
1.1771675 ,0.2090041 
0.53343445,0.        
0.        ,0.83781767
0.34591466,0.        
0.        ,1.0878474 
1.3219175 ,1.8552756 
